ACARACUZINHO
AEROLANDIA
AEROPORTO
AGUA FRIA
ALAGADICO
ALDEOTA
ALTO ALEGRE
ALTO DA BALANCA
ALVARO WEYNE
AMADEU FURTADO
ANCURI
ANTONIO BEZERRA
ANTONIO DIOGO
ARATURI
ARENOPOLIS
AUTRAN NUNES
BARRA DO CEARA
BARROSO
BELA VISTA
BENFICA
BOA VISTA
BOA VISTA CASTELAO
BOM FUTURO
BOM JARDIM
BONSUCESSO
CAIS DO PORTO
CAJAZEIRAS
CAMBEBA
CANINDEZINHO
CANTO VERDE
CARLITO MAIA
CARLITO PAMPLONA
CASA PORTO
CASTELAO
CASTELO ENCANTADO
CENTRO
CIDADE 2000
CIDADE DOS FUNCIONARIOS
COACU
COCO
CONJUNTO CEARA
CONJUNTO ESPERANCA
CONJUNTO HABITACIONAL AERONAUTICA
CONJUNTO NOVA ASSUNCAO
CONJUNTO NOVA PERIMETRAL
CONJUNTO NOVO ORIENTE
CONJUNTO PALMEIRAS
CONJUNTO PARQUE IPIRANGA
CONJUNTO PLANALTO PICI
CONJUNTO PREFEITO JOSE WALTER
CONJUNTO RESIDENCIAL SITIO SAO JOAO
CONJUNTO SANTA MARIA
CONJUNTO SOL POENTE
CONJUNTO VILA VELHA IV
COUTO FERNANDES
CRISTO REDENTOR
CURIO
DAMAS 
DE LOURDES
DEMOCRITO ROCHA
DENDE
DIAS MACEDO
DIONISIO TORRES
DISTRITO INDUSTRIAL
DISTRITO INDUSTRIAL I
DISTRITO INDUSTRIAL III
DOM LUSTOSA
DUNAS
EDSON QUEIROZ
ENGENHEIRO LUCIANO CAVALCANTE
FARIAS BRITO
FATIMA
FLORESTA
GRANJA LISBOA
GRANJA PORTUGAL
GUAJIRU
GUARAMIRANGA
GUARARAPES
HENRIQUE JORGE
INDUSTRIAL
ITAOCA
ITAPERI
JABOTI
JACARECANGA
JANGURUSSU
JARDIM AMERICA
JARDIM CEARENSE
JARDIM DAS OLIVEIRAS
JARDIM GUANABARA
JARDIM IRACEMA
JARDIM JATOBA
JOAO XXIII
JOAQUIM TAVORA
JOQUEI CLUBE
JOSE BONIFACIO
JOSE DE ALENCAR
LAGO VERDE
LAGOA REDONDA
LOTEAMENTO ALFHA VILLAGE
LOTEAMENTO ARATURI
LOTEAMENTO ESPLANADA CASTELAO
LOTEAMENTO ESPLANADA MESSEJANA
LOTEAMENTO GRANDE ALDEOTA
LOTEAMENTO JARDIM BANDEIRANTES
LOTEAMENTO JUREMA PARK
LOTEAMENTO PARQUE DOM PEDRO
LOTEAMENTO PARQUE ELISABETH
LOTEAMENTO PARQUE MONTENEGRO
LOTEAMENTO PLANALTO JOAO XXIII
LOTEAMENTO PLANALTO MONDUBIM
LOTEAMENTO SITIO SANTA SOFIA
MANOEL DIAS BRANCO
MANUEL SATIRO
MARAPONGA
MEIRELES
MESSEJANA
MONDUBIM
MONTE CASTELO
MONTESE
MOURA BRASIL
MUCURIPE
NOVA METROPOLE - JUREMA
NOVO MONDUBIM
OLAVO OLIVEIRA
PADRE ANDRADE
PAJUCARA
PAN AMERICANO
PAPICU
PARANGABA
PARQUE ALTO ALEGRE
PARQUE ARAXA
PARQUE DOIS IRMAOS
PARQUE GENIBAU
PARQUE IRACEMA
PARQUE JERUSALEM
PARQUE MANIBURA
PARQUE NOVO MONDUBIM
PARQUE POTIRA
PARQUE PRESIDENTE VARGAS
PARQUE SANTA MARIA
PARQUE SANTA ROSA
PARQUE SAO JOSE
PARQUE SAO VICENTE
PARQUELANDIA
PARREAO
PASSARE
PATRIOLINO RIBEIRO
PAUPINA
PEDRAS
PICI
PIRAMBU
PLANALTO AYRTON SENNA
PRAIA DE IRACEMA
PRAIA IRACEMA
PREFEITO JOSE WALTER
PRESIDENTE KENNEDY
PRESIDENTE TANCREDO NEVES
QUINTINO CUNHA
RODOLFO TEOFILO
SABIAGUABA
SALINAS
SANTA MARIA
SANTA ROSA
SAO BENTO
SAO GERARDO
SAO JOAO DO TAUAPE
SAPIRANGA
SERRINHA
SIQUEIRA
VARJOTA
VICENTE PINZON
VILA ELLERY
VILA PERI
VILA UNIAO
VILA VELHA
